SECCION,P_12YMAS,POBFEM,POBMAS,PNACENT,PRES2015,P3YM_HLI,P15YM_AN,P15YM_SE,GRAPROES,PROM_HNV,PEA,PDESOCUP,PSINDER,PAFIL_IPRIV,PCATOLICA,p_joven,p_vieja,POBTOT
814,0.8671586715867159,0.5387453874538746,0.45387453874538747,0.974169741697417,0.959409594095941,0,0,0,12.327675276752766,1.9006870229007635,132.61702127659575,0,0.055350553505535055,0.014760147601476014,0.933579335793358,0.1033210332103321,0.25092250922509224,271
815,0.8319623971797885,0.48531139835487663,0.5017626321974148,0.9259694477085781,0.9118683901292597,0,0.0035252643948296123,0.004700352526439483,10.066768507638072,2.0086363636363633,456.75141242937855,3.6059322033898304,0.1598119858989424,0.004700352526439483,0.8343125734430082,0.1045828437132785,0.14218566392479437,851
816,0.7778149014366856,0.4908118944203141,0.49014366855997327,0.8813899097895088,0.8767123287671232,0.003007016371533578,0.015035081857667892,0.020380888740394253,9.346739057801537,2.2054741379310348,1767.772766323024,30.85567010309278,0.138656866020715,0.01670564650851988,0.8085532910123622,0.10658202472435684,0.11526896090878717,2993
817,0.8032407407407407,0.4737654320987654,0.4868827160493827,0.8927469135802469,0.8904320987654321,0,0.010030864197530864,0.013888888888888888,9.863171296296294,2.0631163708086784,658.5821325648416,7.469740634005764,0.11188271604938271,0.006172839506172839,0.7021604938271605,0.1095679012345679,0.13580246913580246,1296
818,0.8091603053435115,0.47900763358778625,0.5190839694656488,0.9446564885496184,0.8740458015267175,0,0.013358778625954198,0.01717557251908397,9.527557251908398,2.1532843137254902,304.0188679245283,3.7075471698113205,0.0916030534351145,0.02099236641221374,0.8454198473282443,0.1316793893129771,0.13549618320610687,524
819,0.7489120974760661,0.47911227154047,0.47867711053089645,0.8537859007832899,0.8524804177545692,0,0.016536118363794605,0.022628372497824196,8.603150565709313,2.1969800235017627,1292.5415456130156,5.341080766995932,0.10443864229765012,0.019147084421235857,0.7898172323759791,0.10443864229765012,0.08050478677110531,2298
820,0.5287009063444109,0.3202416918429003,0.3293051359516616,0.540785498489426,0.5830815709969789,0,0.00906344410876133,0.00906344410876133,5.428277945619336,2.070344827586207,162.66285714285712,0,0.08157099697885196,0,0.6163141993957704,0.02416918429003021,0.08157099697885196,331
821,0.7400497512437811,0.44402985074626866,0.4664179104477612,0.7649253731343284,0.8258706467661692,0.0037313432835820895,0.012437810945273632,0.014925373134328358,8.206890547263683,2.2803496503496508,397.2705882352941,0,0.1181592039800995,0.008706467661691543,0.7960199004975125,0.055970149253731345,0.13557213930348258,804
822,0.7332589285714286,0.4525669642857143,0.4888392857142857,0.8889508928571429,0.8549107142857143,0,0,0.0016741071428571428,8.745050223214285,2.246682098765432,878.2709284627092,0,0.08537946428571429,0.03794642857142857,0.8002232142857143,0.08761160714285714,0.09821428571428571,1792
823,0.8120805369127517,0.5190156599552572,0.42058165548098436,0.8993288590604027,0.8680089485458613,0,0,0,9.650738255033556,2.1681218274111673,181.01652892561984,0,0.09843400447427293,0.08501118568232663,0.825503355704698,0.04697986577181208,0.2595078299776286,447
824,0.8203677510608204,0.49504950495049505,0.4582743988684583,0.9123055162659123,0.9052333804809052,0,0,0,9.201272984441301,2.2448299319727893,325.46379310344827,0,0.09900990099009901,0,0.8401697312588402,0.06223479490806223,0.15275813295615276,707
825,0.7452380952380953,0.48928571428571427,0.42857142857142855,0.8761904761904762,0.8476190476190476,0,0.013095238095238096,0.010714285714285714,8.436619047619047,2.4172699386503074,369.00958466453676,4.02555910543131,0.09642857142857143,0.007142857142857143,0.8107142857142857,0.06785714285714285,0.13095238095238096,840
