SECCION,votos,lista,participacion
106,NA,NA,NA
1060,193,343,0.5626822157434402
1061,227,325,0.6984615384615385
1062,146,269,0.5427509293680297
1063,334,655,0.5099236641221374
1064,319,1394,0.22883787661406027
1065,681,2134,0.3191190253045923
1066,660,1172,0.5631399317406144
1067,464,687,0.6754002911208151
1068,372,606,0.6138613861386139
1069,589,870,0.6770114942528735
107,2283,3542,0.6445511010728402
1070,422,572,0.7377622377622378
1071,337,550,0.6127272727272727
1072,341,514,0.6634241245136187
1073,369,577,0.6395147313691508
1074,399,569,0.7012302284710018
1075,317,517,0.6131528046421664
1076,243,441,0.5510204081632653
1077,82,220,0.37272727272727274
1078,399,653,0.6110260336906586
1079,196,337,0.5816023738872403
1080,293,441,0.6643990929705216
1081,350,486,0.720164609053498
1082,309,445,0.6943820224719102
1083,606,599,1.011686143572621
1084,895,1234,0.7252836304700162
1085,516,752,0.6861702127659575
1086,517,681,0.7591776798825257
1087,483,630,0.7666666666666667
1088,615,821,0.7490864799025578
1089,561,718,0.7813370473537604
109,1477,2601,0.5678585159554018
1090,2723,3194,0.8525360050093926
1091,2234,3462,0.6452917388792605
1092,3784,4506,0.8397691966267199
1093,1226,1503,0.8157019294743846
1094,1304,1609,0.8104412678682411
1095,1004,1800,0.5577777777777778
1096,2244,3159,0.7103513770180437
1097,1345,1840,0.7309782608695652
1098,1746,2386,0.7317686504610227
1099,306,423,0.723404255319149
11,169,221,0.7647058823529411
110,2333,3302,0.7065414900060569
1100,625,784,0.7971938775510204
1101,0,614,0
1102,335,493,0.6795131845841785
1103,440,655,0.6717557251908397
1104,187,274,0.6824817518248175
1105,288,417,0.6906474820143885
1106,227,321,0.7071651090342679
1107,188,323,0.5820433436532507
1108,273,457,0.5973741794310722
1109,0,568,0
111,1022,1802,0.5671476137624861
1110,271,447,0.6062639821029083
1111,181,271,0.6678966789667896
1112,215,323,0.6656346749226006
1113,236,379,0.6226912928759895
1114,211,359,0.5877437325905293
1115,364,482,0.7551867219917012
1116,268,763,0.35124508519003933
1117,409,571,0.7162872154115587
1118,358,512,0.69921875
112,752,1385,0.5429602888086643
1120,520,725,0.7172413793103448
1121,381,573,0.6649214659685864
1122,306,490,0.6244897959183674
1123,515,767,0.6714471968709257
1124,1411,2081,0.6780394041326285
1125,695,1349,0.5151964418087472
1126,585,906,0.6456953642384106
1127,691,1282,0.5390015600624025
1128,618,1007,0.6137040714995035
1129,727,979,0.7425944841675178
113,404,680,0.5941176470588235
1130,823,1069,0.7698783910196445
1133,248,379,0.6543535620052771
1134,2367,3361,0.7042546861053258
1135,267,463,0.5766738660907127
1136,251,508,0.4940944881889764
1137,252,458,0.5502183406113537
1138,216,324,0.6666666666666666
1139,211,317,0.6656151419558359
1140,185,339,0.5457227138643068
1141,294,504,0.5833333333333334
1144,283,507,0.5581854043392505
1146,233,419,0.5560859188544153
1147,226,408,0.553921568627451
1148,278,417,0.6666666666666666
1149,226,407,0.5552825552825553
115,945,1619,0.5836936380481779
1150,364,636,0.5723270440251572
1151,144,248,0.5806451612903226
1152,232,421,0.5510688836104513
1153,0,212,0
1154,235,900,0.2611111111111111
1155,333,303,1.099009900990099
1156,203,442,0.4592760180995475
1157,244,451,0.541019955654102
1158,193,379,0.5092348284960422
1159,167,366,0.4562841530054645
116,554,2088,0.2653256704980843
1160,168,425,0.3952941176470588
1161,986,0,Inf
1162,187,380,0.4921052631578947
1163,117,234,0.5
1164,110,190,0.5789473684210527
1165,111,208,0.5336538461538461
1166,253,458,0.5524017467248908
1167,179,310,0.5774193548387097
117,799,1907,0.41898269533298377
1174,277,588,0.4710884353741497
1175,204,344,0.5930232558139535
1176,151,404,0.37376237623762376
1178,117,242,0.4834710743801653
118,662,1547,0.42792501616031026
1182,286,630,0.45396825396825397
1183,216,466,0.463519313304721
1186,311,682,0.4560117302052786
1187,155,234,0.6623931623931624
